score,sentence,rating,vote
-0.9984,"TO THE COVERED PRODUCT OR ANY COMPONENT; (J) DAMAGE OR FAILURE DUE TO CAUSES BEYOND YOUR CONTROL SUCH AS ENVIRONMENTAL CONDITIONS, EXPOSURE TO WEATHER CONDITIONS OR ACTS OF NATURE, INCLUDING BUT NOT LIMITED TO: FIRE, FLOODS, SMOKE, SAND, DIRT, LIGHTNING, MOISTURE, WATER DAMAGE OF ANY KIND, WHETHER FROM FRESH WATER, SALTWATER OR OTHER WATER INTRUSION, STORMS, WIND OR WINDSTORM, HAIL, EARTHQUAKE, OTHER EXTERNAL PERILS OF NATURE; (K) REPAIRS NECESSITATED BY OPERATION OUTSIDE THE MANUFACTURER OPERATIONAL OR ENVIRONMENTAL SPECIFICATIONS; (L) BATTERY FAILURE OR LEAKAGE; (M) COLLISION WITH ANOTHER OBJECT, COLLAPSE, EXPLOSION, LIQUID SPILLAGE OF ANY KIND BY ANY OWNER, EMPLOYEE, THIRD PARTY, REPAIR PERSONNEL, ETC., UNLESS COVERED UNDER A SERVICE AGREEMENT WHICH SPECIFICALLY INCLUDES ANY OF THE DEFINED CAUSES; (N) ACCIDENTAL DAMAGE; INCLUDING PHYSICAL / MECHANICAL / ELECTRONIC DAMAGE CAUSE BY DROPPING, UNLESS YOUR PRODUCT QUALIFIES FOR ADH COVERAGE; (O) DAMAGE, WARPING, BENDING OR RUSTING OF ANY KIND TO THE HOUSING, CABINETRY, SUPPORTS, OUTSIDE CASING OR FRAME OF THE PRODUCT; (P) IMPROPER OR INADEQUATE STORAGE; (Q) DAMAGE TO A COVERED PART CAUSED BY A NONCOVERED PART; (R) IMPROPER INSTALLATION OF CUSTOMER REPLACEABLE COMPONENTS, MODULES, PARTS OR PERIPHERALS AND/OR INSTALLATION OF INCORRECT PARTS; (S) ANY RESULTANT MALFUNCTION OR DAMAGE OF OR TO AN OPERATING PART OF THE COVERED PRODUCT FROM FAILURE TO PROVIDE MANUFACTURER'S RECOMMENDED MAINTENANCE OR OPERATION/STORAGE OF THE COVERED PRODUCT IN CONDITIONS OUTSIDE MANUFACTURER SPECIFICATIONS OR USE OF A COVERED PRODUCT IN SUCH A MANNER AS WOULD VOID COVERAGE UNDER THE MANUFACTURER'S WARRANTY OR THAT ARE USED IN A MANNER INCONSISTENT WITH THE DESIGN OF THE EQUIPMENT OR MANUFACTURER INSTRUCTIONS OR SPECIFICATIONS; (T) OPERATIONAL ERRORS ON THE PART OF THE CONSUMER (E.G., AS ABNORMAL ICE BUILDUP IN A REFRIGERATOR OR FREEZER); (U) REMOVAL, INSTALLATION, REINSTALLATION, UNAUTHORIZED REPAIRS, ETC., OF ANY INTERNAL COMPONENT OR COVERED PRODUCT INCLUDING BUT NOT LIMITED TO ADJUSTMENTS, MANIPULATION OR MODIFICATIONS MADE BY ANYONE OTHER THAN A SERVICE TECHNICIAN AUTHORIZED BY US; (V) LOSS OF POWER, IMPROPER USE OF ELECTRICAL/POWER, POWER `BROWNOUT', POWER OVERLOAD OR POWER SURGE; (W) UNAUTHORIZED MODIFICATIONS AND ADJUSTMENTS, ALTERATIONS, MANIPULATION OR REPAIR MADE BY ANYONE OTHER THAN AN SERVICE TECHNICIAN AUTHORIZED BY US; (X) DAMAGE/FAILURE DUE TO IMPROPER LUBRICATION, OR USE OF INCORRECT OR STALE FUEL OR FUEL CONTAINING MORE THAN 10% ETHANOL; (Y) DAMAGE RESULTING FROM COMPUTER VIRUSES; (Z) COVERED PRODUCTS SUBJECT TO A MANUFACTURER RECALL, WARRANTY OR REWORK TO REPAIR DESIGN OR COMPONENT DEFICIENCIES, IMPROPER CONSTRUCTION, MANUFACTURER ERROR, ETC.; REGARDLESS OF THE MANUFACTURER'S ABILITY TO PAY FOR SUCH REPAIRS; (AA) EQUIPMENT SOLD WITHOUT A MANUFACTURER'S WARRANTY OR `AS IS'; (AB) COVERED PRODUCTS WITH REMOVED OR ALTERED SERIAL NUMBERS; (AC) CONSEQUENTIAL DAMAGES OR DELAY IN RENDERING SERVICE UNDER THIS SERVICE AGREEMENT, OR LOSS OF USE OR DATA DURING THE PERIOD THE COVERED PRODUCT IS AT AN AUTHORIZED REPAIR FACILITY OR OTHERWISE AWAITING PARTS; (AD) NONFAILURE PROBLEMS, INCLUDING BUT NOT LIMITED TO NOISES, SQUEAKS, ETC.; (AE) NORMAL PERIODIC OR PREVENTATIVE MAINTENANCE, USER EDUCATION, SET UP ADJUSTMENTS; (AF) CLEANINGS OR ANY REPAIR COVERED BY A MANUFACTURER WARRANTY, SERVICE AGREEMENT OR OTHER INSURANCE; (AG) SOFTWARE AND SOFTWARE RELATED PROBLEMS; (AH) REPAIRS FOR COSMETIC DAMAGE OR IMPERFECTIONS OR TO STRUCTURAL ITEMS; (AI) FAILURE TO PRODUCT ATTACHMENTS ESSENTIAL TO THE BASIC FUNCTION OF THE PRODUCT BUT NOT PROVIDED BY THE
AMTUBIDPFD (09/12) Page 3 of 9
MANUFACTURER OR NOT INCLUDED IN THE ORIGINAL SALE OF THE COVERED PRODUCT; (AJ) TELEVISION OR PERSONAL COMPUTER MONITOR SCREEN IMPERFECTIONS, INCLUDING BURNEDIN IMAGES IN CRT OR PLASMA SCREENS CAUSED BY VIDEO GAMES, PROLONGED DISPLAY OF ONE OR MORE VIDEO SIGNALS, UNIT ABUSE, OR FOR ANY OTHER REASON, AND CRACKED SCREENS, UNLESS A SCREEN PROTECTION PLAN HAS BEEN PURCHASED UNDER THIS SERVICE AGREEMENT; (AK) REPAIR OF LCD/PLASMA RESOLUTION/FAILURE, PIXEL BURNOUT OR OTHER IMAGE FAILURE NOT IN ACCORDANCE WITH THE MANUFACTURER'S SPECIFICATIONS AND/OR MINIMUM DISPLAY STANDARDS OR MINOR PIXEL ILLUMINATION ISSUES THAT DO NOT AFFECT THE OVERALL VIEWING OF THE PANEL SUCH AS, BUT NOT LIMITED TO: MISSING PIXELS, INTERMITTENT PIXELS, OR WRONG COLOR PIXELS; (AL) CONTROL ADJUSTMENTS MADE TO TELEVISIONS TO ENHANCE SCREEN IMAGE QUALITY; (AM) PLASMA TELEVISIONS IN USE AT OR ABOVE 6,000 FEET ABOVE SEA LEVEL, UNLESS SPECIFICALLY DESIGNED FOR USE ABOVE THAT ALTITUDE; (AN) FAILURE TO RESET TIMER AFTER A LAMP REPLACEMENT OR EXPLODING OR DIMMING LAMPS; (AO) THIS SERVICE AGREEMENT EXCLUDES ASSISTING CONSUMERS TO OBTAIN NECESSARY HARDWARE (CONVERTER BOXES) FOR CONVERTING ANALOG TELEVISION SIGNALS TO DIGITAL TELEVISION SIGNALS OR FOR ANY REPAIRS OR MODIFICATIONS AS A RESULT OF THE UNAVAILABILITY OF ANALOG BROADCASTING; (AP) ANY DAMAGE TO RECORDING MEDIA INCLUDING ANY PROGRAM, DATA OR SETUP RESIDENT ON ANY MASS STORAGE DEVICES INCLUDING BUT NOT LIMITED TO HARD DRIVES, CDROM DEVICES, FLOPPY DISKETTES, TAPE DRIVES OR TAPE BACKUPS AS A RESULT OF THE MALFUNCTION OF OR DAMAGE TO AN OPERATING PART OF THE COVERED PRODUCT; (AQ) SIGNAL RECEPTION OR TRANSMISSION PROBLEMS RESULTING FROM EXTERNAL CAUSES; (AR) REPAIR OR REPLACEMENT COSTS FOR LOST COMPONENTS NOT ORIGINALLY COVERED BY THE MANUFACTURER'S WARRANTY OR ARE CONSIDERED EXPENDABLE OR CONSUMER REPLACEABLE ITEMS OR ANY NONOPERATING OR NONMOTOR DRIVEN MECHANICAL PART, INCLUDING BUT NOT LIMITED TO: PLASTIC PARTS OR OTHER PARTS SUCH AS ACCESSORY CABLES, AIR, FUEL, OIL OR WATER FILTERS, AUGERS, BAGS, BASKETS/BUCKETS, BATTERIES, BELTS, BLADES, BOLTS, BRAKES, BRIGHT METAL, BRIQUETTES, BRUSHES, BULBS, CABINETS, CABLES, CAPS, CARBURETOR, CHAIN BARS, CONNECTORS, CORDS, DECKS, DEVELOPER, DIALS, DISKS, DRAWERS, DRILLS BITS, DRIVE BELTS, DRUMS, DRY CLUTCH ASSEMBLIES, EXHAUST SYSTEM PARTS, EXTERNAL CHAINS, FABRICS, FAN BELTS, FINISH DEFECTS, FRAMES, FREEZE PLUGS, FUEL OF ANY KIND, FUSES, GLASS, GRATES, GRINDER PADS, HANDLES, HINGES, HOSES, IMPELLERS, INK OR INK CARTRIDGES, KEYPADS, KEYS, KNOBS, LAMPS, LATCHES, LAVA ROCKS, LED'S, LCD'S, LIGHTS, LINERS, LINES, LINT SCREENS, LP TANKS, MASKS, MOLDINGS, MOWER BLADES, NEEDLES, NOZZLES, OIL, ORNAMENTATION, PAINT, PLASTIC BODY OR MOLDING, RACK ROLLERS, RACKS, RIBBONS, SANDPAPER, SCRATCHED LENSES, SEATS, SHEET METAL, SHELVES, SPARK PLUGS, STAPLES; SUPPORTS, SUSPENSION, SWITCHES, THERMOSTATS, TIRES, TONER, TRIMMER HEADS, TUBES, TUBS, WHEEL COVERS, WHEELS, WIRING, OR ANY OTHER PARTS OR MATERIALS WHICH ARE DESIGNED TO BE CONSUMED DURING THE LIFE OF THE COVERED PRODUCT; (AT) COST OF REMOVAL OR DISPOSAL OF THE PRODUCT IN ORDER TO COMPLY WITH EPA DISPOSAL REQUIREMENTS; (AU) COST OF PREVENTATIVE MAINTENANCE, CLEANING, ALIGNMENTS, SEIZED OR DAMAGED PARTS; AV) LIABILITY OR DAMAGE TO PROPERTY, OR INJURY, OR DEATH TO ANY PERSON ARISING OUT OF THE OPERATION, MAINTENANCE OR USE OF THE COVERED PRODUCT; (AW) SERVICE OR REPLACEMENT OUTSIDE OF THE UNITED STATES OF AMERICA, ITS TERRITORIES, OR CANADA.",2.0,70
-0.9944,"WHAT IS NOT COVERED (GENERAL EXCLUSIONS)
AS RELATED AND APPLICABLE TO YOUR COVERED PRODUCT(S), THIS SERVICE CONTRACT DOES NOT COVER ANY FAILURE, LOSS, REPAIRS OR DAMAGE IN CONNECTION WITH OR RESULTING FROM: (a) Pre-Existing Conditions, as defined, incurred or known to You; (b) Improper packaging and/or transportation by You or Your representative resulting in damage to the Product while it is in transit, including improperly securing the Product during transportation; (c) Installation, removal, reinstallation or improper installation of parts/components, upgrades, attachments, accessories, peripherals or any items considered to be expendable or consumer replaceable; (d) Products that are used in heavy commercial or industrial applications/operations, or intended for Commercial Use, as defined, unless Commercial Coverage is evidenced on Your sales receipt; (e) Riot, nuclear radiation, war / hostile action, radioactive contamination, etc.; (f) Neglect, negligence, misuse, Abuse, vandalism, theft, or malicious mischief or disappearance; (g) Rust, corrosion, warping, bending; (h) animals, animal inhabitation or insect infestation; (i) Causes beyond Your control; such as battery failure/leakage, inadequate plumbing, environmental conditions, exposure to weather conditions or external perils of nature (including but not limited to: fire, flood, smoke, sand, dirt, lightning, humidity, storms, wind, hail and earthquake); (j) Operation of the Product outside of the manufacturers operational or environmental specifications; (k) Collision, collapse or explosion of / with another object; (l) Dropping the Product, liquid, or screen breakage; unless ADH Coverage is evidenced on Your sales receipt); (m) Damage to a covered part caused by a non-covered part; (n) Lack of performing the manufacturers recommended maintenance, operation/storage of the Product in conditions outside of the manufacturers specifications or instructions, or use of the Product in a manner that would otherwise void the original manufacturers warranty or that is contrary to the design and function for which the Product was originally intended; (o) Operational errors; (p) Loss of electricity, power brown-out or improper use of electricity; (q) Modifications, adjustments, alterations, manipulation or repairs made by anyone other than an service technician authorized by Us; (r) Products subject to a manufacturers recall, warranty or rework to repair design or component deficiencies, improper construction, manufacturer error, etc.; regardless of the manufacturers ability to pay for such repairs; (s) Merchandise sold without a manufacturers warranty or AS IS (unless otherwise specified herein); (t) Merchandise that has removed or altered serial numbers; (u) Consequential damages or delay in rendering service under this Service Contract, or loss of use or data during the period of time in which the Product is at a repair facility or otherwise awaiting parts as authorized by Us; (v) Non-Failure problems, including but not limited to: Cosmetic Damage, imperfections, noises, squeaks, etc.; (w) Normal periodic or preventive maintenance, user education or set up adjustments; (x) Any service of the Product that is covered by a warranty, other service contract, or insurance; (y) Structural items or frames (unless otherwise specified herein); (z) Attachments that are essential to the basic function of the Product, but not provided by the manufacturer or not included in the original sale of the Product; (aa) Cost of lost components not covered by the Products original manufacturers warranty, or any non-operating / non-power-driven part; including but not limited to: plastic parts or other parts such as accessory cables, water filters, bags, baskets, batteries, bolts, cables, connectors, cords, knob, fuses, glass, handles, hinges, external hoses, latches, liners, lines, lint screens, masks, moldings, plastic body or door seal; (ab) Cost of removal or disposal of the Product from Your possession in order to comply with any EPA requirements; (ac) Liability or damage to property, or injury, or death to any person arising out of the operation, maintenance or use of the Product; or (ad) Any service performed outside of the United States of America, its territories, or Canada.",1.0,8
-0.9944,"WHAT IS NOT COVERED (GENERAL EXCLUSIONS)
AS RELATED AND APPLICABLE TO YOUR COVERED PRODUCT(S), THIS SERVICE CONTRACT DOES NOT COVER ANY FAILURE, LOSS, REPAIRS OR
DAMAGE IN CONNECTION WITH OR RESULTING FROM: (a) PreExisting Conditions, as defined, incurred or known to You; (b) Improper packaging
and/or transportation by You or Your representative resulting in damage to the Product while it is in transit, including improperly securing the
Product during transportation; (c) Installation, removal, reinstallation or improper installation of parts/components, upgrades, attachments,
accessories, peripherals or any items considered to be expendable or consumer replaceable; (d) Products that are used in heavy commercial or
industrial applications/operations, or intended for Commercial Use, as defined, unless Commercial Coverage is evidenced on Your sales
receipt; (e) Riot, nuclear radiation, war / hostile action, radioactive contamination, etc.; (f) Neglect, negligence, misuse, Abuse, vandalism,
theft, or malicious mischief or disappearance; (g) Rust, corrosion, warping, bending; (h) animals, animal inhabitation or insect infestation; (i)
Causes beyond Your control; such as battery failure/leakage, inadequate plumbing, environmental conditions, exposure to weather conditions
or external perils of nature (including but not limited to: fire, flood, smoke, sand, dirt, lightning, humidity, storms, wind, hail and earthquake); (j)
Operation of the Product outside of the manufacturers operational or environmental specifications; (k) Collision, collapse or explosion of / with
another object; (l) Dropping the Product, liquid, or screen breakage; unless ADH Coverage is evidenced on Your sales receipt); (m) Damage to
a covered part caused by a noncovered part; (n) Lack of performing the manufacturers recommended maintenance, operation/storage of the
Product in conditions outside of the manufacturers specifications or instructions, or use of the Product in a manner that would otherwise void
the original manufacturers warranty or that is contrary to the design and function for which the Product was originally intended; (o)
Operational errors; (p) Loss of electricity, power brownout or improper use of electricity; (q) Modifications, adjustments, alterations,
manipulation or repairs made by anyone other than an service technician authorized by Us; (r) Products subject to a manufacturers recall,
warranty or rework to repair design or component deficiencies, improper construction, manufacturer error, etc.; regardless of the
manufacturers ability to pay for such repairs; (s) Merchandise sold without a manufacturers warranty or AS IS (unless otherwise specified
herein); (t) Merchandise that has removed or altered serial numbers; (u) Consequential damages or delay in rendering service under this Service
Contract, or loss of use or data during the period of time in which the Product is at a repair facility or otherwise awaiting parts as authorized by
Us; (v) NonFailure problems, including but not limited to: Cosmetic Damage, imperfections, noises, squeaks, etc.; (w) Normal periodic or
preventive maintenance, user education or set up adjustments; (x) Any service of the Product that is covered by a warranty, other service
contract, or insurance; (y) Structural items or frames (unless otherwise specified herein); (z) Attachments that are essential to the basic function
of the Product, but not provided by the manufacturer or not included in the original sale of the Product; (aa) Cost of lost components not
covered by the Products original manufacturers warranty, or any nonoperating / nonpowerdriven part; including but not limited to: plastic
parts or other parts such as accessory cables, water filters, bags, baskets, batteries, bolts, cables, connectors, cords, knob, fuses, glass, handles,
hinges, external hoses, latches, liners, lines, lint screens, masks, moldings, plastic body or door seal; (ab) Cost of removal or disposal of the
Product from Your possession in order to comply with any EPA requirements; (ac) Liability or damage to property, or injury, or death to any
person arising out of the operation, maintenance or use of the Product; or (ad) Any service performed outside of the United States of America,
its territories, or Canada.",3.0,4
-0.9943,"The dmesg command returned this errors:

[17686.558118] EXT4-fs warning (device sdj1): __ext4_read_dirblock:884: error -5 reading directory block (ino 2, block 0)
[17689.319119] EXT4-fs warning (device sdg1): __ext4_read_dirblock:884: error -5 reading directory block (ino 2, block 0)
[17689.319138] EXT4-fs warning (device sdh1): __ext4_read_dirblock:884: error -5 reading directory block (ino 2, block 0)
[17689.319149] EXT4-fs warning (device sdi1): __ext4_read_dirblock:884: error -5 reading directory block (ino 2, block 0)
[17689.319159] EXT4-fs warning (device sdj1): __ext4_read_dirblock:884: error -5 reading directory block (ino 2, block 0)

sdj1, sdg1 etc are the external HDDs partitions.",2.0,0
-0.9934,"If you don't believe me, here's an excerpt:

WHAT IS NOT COVERED: THIS SERVICE AGREEMENT DOES NOT COVER ANY LOSS, REPAIRS OR DAMAGE CAUSED BY OR RESULTING
FROM: (A) PREEXISTING CONDITIONS INCURRED OR KNOWN TO YOU (""PREEXISTING"" MEANS A CONDITION THAT WITHIN ALL
REASONABLE MECHANICAL OR ELECTRICAL PROBABILITY RELATES TO THE MECHANICAL FITNESS OF YOUR COVERED PRODUCT
PRIOR TO ISSUANCE OF THIS SERVICE AGREEMENT); (B) IMPROPER PACKAGING AND/OR TRANSPORTATION BY YOU OR YOUR
REPRESENTATIVE RESULTING IN DAMAGE DURING SHIPMENT TO A SERVICE CENTER OR RELOCATION OF THE COVERED PRODUCT;
(C) INSTALLATION, REMOVAL, REINSTALLATION OR IMPROPER INSTALLATION OF COMPONENTS, UPGRADES, ATTACHMENTS OR
PERIPHERALS; (D) PRODUCTS AND/OR COMPONENTS THAT ARE USED IN APPLICATIONS THAT REQUIRE CONTINUOUS BUSINESS
AND/OR COMMERCIAL OPERATION, OR ARE USED FOR COMMERCIAL, INDUSTRIAL, EDUCATIONAL OR PUBLIC USE PURPOSES OR
OFFERED ON A RENTAL BASIS, OR COINOPERATED PRODUCTS; (E) DAMAGE OR FAILURE CAUSED BY RIOT, NUCLEAR RADIATION,
WAR OR HOSTILE ACTION, RADIOACTIVE CONTAMINATION, ETC.; (F) DAMAGE FROM FREEZING OR OVERHEATING; (G) INADEQUATE
PLUMBING, ELECTRICAL OR GAS SERVICE; (H) INTERRUPTION OF GAS OR ELECTRICAL SERVICE; (I) NEGLECT, NEGLIGENCE, MISUSE,
ABUSE, INTENTIONAL PHYSICAL/MECHANICAL/ELECTRONIC DAMAGE, PHYSICAL DAMAGE OR MALICIOUS MISCHIEF, THEFT OR
MYSTERIOUS DISAPPEARANCE, VANDALISM, RUST, CORROSION, WARPING, BENDING, ANIMAL OR INSECT INFESTATION, ETC.",1.0,1377
-0.9934,Crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap crap,1.0,0
-0.9931,"Here's the fine print from SmartGuard itself:

[...]

""WHAT IS NOT COVERED: THIS SERVICE AGREEMENT DOES NOT COVER ANY LOSS, REPAIRS OR DAMAGE CAUSED BY OR RESULTING FROM: (A) PREEXISTING CONDITIONS INCURRED OR KNOWN TO YOU (""PREEXISTING"" MEANS A CONDITION THAT WITHIN ALL REASONABLE MECHANICAL OR ELECTRICAL PROBABILITY RELATES TO THE MECHANICAL FITNESS OF YOUR COVERED PRODUCT PRIOR TO ISSUANCE OF THIS SERVICE AGREEMENT); (B) IMPROPER PACKAGING AND/OR TRANSPORTATION BY YOU OR YOUR REPRESENTATIVE RESULTING IN DAMAGE DURING SHIPMENT TO A SERVICE CENTER OR RELOCATION OF THE COVERED PRODUCT; (C) INSTALLATION, REMOVAL, REINSTALLATION OR IMPROPER INSTALLATION OF COMPONENTS, UPGRADES, ATTACHMENTS OR PERIPHERALS; (D) PRODUCTS AND/OR COMPONENTS THAT ARE USED IN APPLICATIONS THAT REQUIRE CONTINUOUS BUSINESS AND/OR COMMERCIAL OPERATION, OR ARE USED FOR COMMERCIAL, INDUSTRIAL, EDUCATIONAL OR PUBLIC USE PURPOSES OR OFFERED ON A RENTAL BASIS, OR COINOPERATED PRODUCTS; (E) DAMAGE OR FAILURE CAUSED BY RIOT, NUCLEAR RADIATION, WAR OR HOSTILE ACTION, RADIOACTIVE CONTAMINATION, ETC.; (F) DAMAGE FROM FREEZING OR OVERHEATING; (G) INADEQUATE PLUMBING, ELECTRICAL OR GAS SERVICE; (H) INTERRUPTION OF GAS OR ELECTRICAL SERVICE; (I) NEGLECT, NEGLIGENCE, MISUSE, ABUSE, INTENTIONAL PHYSICAL/MECHANICAL/ELECTRONIC DAMAGE, PHYSICAL DAMAGE OR MALICIOUS MISCHIEF, THEFT OR MYSTERIOUS DISAPPEARANCE, VANDALISM, RUST, CORROSION, WARPING, BENDING, ANIMAL OR INSECT INFESTATION, ETC.",2.0,70
-0.9896,"eth1  Link encap:Ethernet  HWaddr 00:00:5A:11:4C:B0
  inet addr:10.0.1.5  Bcast:10.0.1.255  Mask:255.255.255.0
  inet6 addr: fe80::200:5aff:fe11:4cb0/64 Scope:Link
  UP BROADCAST RUNNING MULTICAST  MTU:7200  Metric:1
  RX packets:16750034 errors:3007 dropped:197469 overruns:28 frame:3007
  TX packets:11547815 errors:0 dropped:0 overruns:391 carrier:0
  collisions:0 txqueuelen:1000
  RX bytes:91600604577 (85.3 GiB)  TX bytes:20987881411 (19.5 GiB)
  Interrupt:16

kernel log under heavy load
---------------------------
__ratelimit: 11 callbacks suppressed
sky2 0000:0c:00.0: error interrupt status=0x8
sky2 0000:0c:00.0: error interrupt status=0x8
sky2 0000:0c:00.0: error interrupt status=0x8
sky2 0000:0c:00.0: error interrupt status=0x40000008
sky2 0000:0c:00.0: error interrupt status=0x8
sky2 0000:0c:00.0: error interrupt status=0x40000008
sky2 0000:0c:00.0: error interrupt status=0x8
sky2 0000:0c:00.0: error interrupt status=0x40000008
sky2 0000:0c:00.0: error interrupt status=0x8
sky2 0000:0c:00.0: error interrupt status=0x8

This product is trivial to install under both Windows Vista and Fedora.",4.0,9
-0.9874,"ArtStudio- Pressure Sensitivity & Shortcut Buttons
Flipink - Palm Rejection, Pressure Sensitivity & Shortcut Buttons
GoodNote- Pressure Sensitivity & Shortcut Buttons
Inkist - Palm Rejection, Pressure Sensitivity & Shortcut Buttons
Inspire Pro - Pressure Sensitivity & Shortcut Buttons
PDFpen - Palm Rejection, Pressure Sensitivity & Shortcut Buttons
Procreate - Pressure Sensitivity & Shortcut Buttons
SketchBook Ink - Pressure Sensitivity
Sketchbook Pro - Pressure Sensitivity & Shortcut Buttons
Sketch Club - Pressure Sensitivity & Shortcut Buttons
Zen Brush - Palm Rejection, Pressure Sensitivity & Shortcut Buttons
ZoomNotes - Palm Rejection, Pressure Sensitivity & Shortcut Buttons

Apps listed as ""Coming Soon""

ABC
Adobe Ideas
Animation Desk
Artist's Touch
ArtRage
Collusion
DeepSketch
Doodle.ly
ezPDF Reader
FlipBook HD
Image Blender
Layers Pro
Morpholio
NoteLedge
NoteShelf
Notes Plus
Repix
WritePad",4.0,3
-0.9864,"I needed this card, it came broken, I am sad :( :( :( :( :( :( :( :( :( :(",1.0,0
-0.9832,"By way of comparison, we originally had a Philips Pronto, which worked, but I hated the touch screen, and it eventually died of a broken screen after cruel abuse by our kids.",4.0,44
-0.9831,"died instantly, died instantly, died instantly, died instantly, died instantly, died instantly,died instantly, died instantly, died instantly.",1.0,0
-0.9817,BAD BAD BAD product and BAD BAD BAD company to do business with!!,1.0,11
-0.9806,"I just read their ""fine print"":
Accidental Damage from Handling Coverage (ADH Coverage):  If Your Product is eligible and if purchased, ADH Coverage augments Your  Service Agreement by providing protection  against sudden  and unforeseen  accidental damage to Your Product; provided such damage was  in the course of regular use of the Product by You, and subject to the following exclusions:  ADH  COVERAGE  DOES  NOT  PROVIDE  PROTECTION  AGAINST  WEAR  AND  TEAR,  THEFT,  MYSTERIOUS AMTUBIDPFD (09/12) Page 2 of 9

DISAPPEARANCE, MISPLACEMENT, VIRUSES, RECKLESS, ABUSIVE, WILLFUL OR INTENTIONAL CONDUCT ASSOCIATED WITH
HANDLING AND USE OF  THE  PRODUCT, COSMETIC DAMAGE AND/OR OTHER DAMAGE  THAT DOES NOT AFFECT UNIT
FUNCTIONALITY, OR DAMAGE CAUSED DURING SHIPMENT BETWEEN YOU AND OUR SERVICE PROVIDERS.",1.0,15
-0.9804,"Pros
My unit was manufactured on 12/13 uses the latest UL 1449 3rd Edition specs for performance and safety and I confirmed most during the disassembly
Quality control certificates for each specific serial numbered unit showing each was tested before leaving the factory; most makers only sample test a few per lot, not each unit
The newer designs have the SPD portion in its own 'blast' box, so any debris that occurs during a severe surge are contained in the blast box
Similarly, the screws and mount holes are also separately boxed, to insure it doesn't touch any power lines inside the SPD
The roof of the main blast box has a fire retardant to contain flames, which is a common occurrence is severe surges with MOV protection
The MOV are now wired to kill the main power in case of a LN surge, and the ground line in case of a LG or NG surge, and a third fail safe fuse to kill main power as a backup to the above; the net result is a bad surge will kill the whole unit
There are 4 stand alone socket protective covers supplied
Quality build
$8!",5.0,28
-0.978,"I bought this because our remotes keep disappearing, but I also have a Vizio tv in my classroom and when the remote for it stopped working (it's really dead, dead, dead) I took this one to school to try, and it works fine, even though that tv isn't Smart.",5.0,0
-0.9766,"(after installation of my battery, not everyone's story is the same as mine, but this is WORST case scenerio and this is for my particular issue as my wife did a factory reset and the ""old"" battery died during install of factory software, bad, very bad)
  FIRST.",5.0,11
-0.9766,"(after installation of my battery, not everyone's story is the same as mine, but this is WORST case scenerio and this is for my particular issue as my wife did a factory reset and the ""old"" battery died during install of factory software, bad, very bad)
  FIRST.",5.0,10
-0.9762,"or 1 year?)
2 2TB greens - sames as the 1TB
2 Caviar Blacks - both died after 18 months, but at least they have a 5 year warranty
1 2TB RE4 - died after 6 months

I have multiple computers and so it is not like there is one EVIL PC that kills hard drives involved even.",1.0,0
-0.9761,Seemed like it would be ok but after it did 83 windows updates it died dead dead dead,1.0,2
-0.9761,"Some may feel that this is overkill, but when I was in the Apple store, an employee I know told me about people whose pencils had suffered  permanent (and ""fatal"") damage because the pencil's lightening charger, while exposed, suffered damage.",4.0,28
-0.9758,"I) Fortuitous events; including, but not limited to: environmental conditions, exposure to weather conditions or perils of nature; collapse, explosion or collision of or with
another object; fire, any kind of precipitation or humidity, lightning, dirt/sand, smoke, nuclear radiation, radioactive contamination, riot, war or hostile action.",1.0,5
-0.9755,I HATE HATE HATE HATE I HATE THIS keyboard.,1.0,2
-0.9753,"Jeff's mother saying ""I can smell him on your (rude name for female body part) from here"", and a double murder and gay sex scandal in the flashback, plus a lot of rape and references to rape and mutilation during the current time, make this book a bit gross - they seem to be gratuitous additions that don't really add to the story.",2.0,0
-0.9752,"Drops & Cracked Screens
(ACCIDENT PLANS ONLY)

Spills & Liquid Damage
(ACCIDENT PLANS ONLY)

Mechanical & Electrical
Failures

Speaker/Sound Failure

Screen Failure

Won't Power On

Power Supply Burnout

Remote Failure
That's it folks!",5.0,0
-0.9741,"Ummm ASUS we have a problem--I don't want to get on your case, but your case/stand is BAD, REALLY BAD & RUINS this USB monitor",1.0,2
-0.974,"Terrible i wrote another review about these guys here is the summery

Terrible picture quality
Bad battery life
crappy app
worst of all when the camera stops working (3 of my 6 cameras did stop working) there is no customer support.",1.0,0
-0.974,"It works, and I still use it, but it creates a constant buzz from both my speakers and headphones, interspersed with frequent high-pitched squeals like it's haunted by the ghost of someone who died a horrifically painful death.",2.0,0
